ID_VGame;VideoGame;Year;Genre;Copy.Publisher 2;Rating;Publisher;Developer;;;;;
55807;Amaranthine Voyage: The Obsidian Book Collector's Edition;2018;indefined;;RP;Big Fish Games;Eipix Entertainment;;;;;
55810;Redemption Cemetery: Grave Testimony Collector’s Edition;2018;indefined;;RP;Big Fish Games;ERS G Studios;;;;;
55813;Dark Canvas: A Murder Exposed Collector's Edition;2018;indefined;;RP;Big Fish Games;Vast Studios;;;;;
114211;AirMech Strike;2018;indefined;;RP;Carbon Games;Carbon Games;;;;;
114022;ATLAS;2018;indefined;;RP;Grapeshot Games;Grapeshot Games, Instinct Games;;;;;
114214;SoulWorker - Anime Action MMO;2018;indefined;;RP;Gameforge 4D GmbH;Lion Games Co., Ltd.;;;;;
114217;Radical Heights;2018;indefined;;RP;Boss Key Productions;Boss Key Productions;;;;;
114220;MapleStory 2;2018;indefined;;RP;Nexon America Inc.;Nexon Korea Corporation;;;;;
114430;Dreadnought;2018;indefined;;RP;Grey Box;Six Foot, YAGER;;;;;
113917;crazy maze ~???? ~ ????? ~ Laberinto loco ~ Labyrinthe fou ~ Verrücktes Labyrinth;2018;indefined;;RP;liuguowang;liuguowang;;;;;
114433;Russian Fishing 4;2018;indefined;;RP;Russian Fishing;Russian Fishing;;;;;
114436;War Robots;2018;indefined;;RP;Pixonic;Pixonic;;;;;
114439;Closers;2018;indefined;;RP;En Masse Entertainment;Naddic Games;;;;;
114442;Dead Maze;2018;indefined;;RP;Atelier 801;Atelier 801;;;;;
114445;Animal Jam - Play Wild!;2018;indefined;;RP;WildWorks, Inc.;WildWorks, Inc.;;;;;
114448;MU Legend;2018;indefined;;RP;Webzen;WEBZEN;;;;;
114451;Fog Of War - Free Edition;2018;indefined;;RP;Monkeys Lab.;Monkeys Lab.;;;;;
114454;Heavy Metal Machines;2018;indefined;;RP;Hoplon;Hoplon;;;;;
113560;Stonehearth;2018;indefined;;RP;(none);Radiant Entertainment;;;;;
113563;Kolb Antarctica Experience;2018;indefined;;RP;Devika;Devika;;;;;
113566;Heroes of Hammerwatch;2018;indefined;;RP;Crackshell, Surefire.Games;Crackshell;;;;;
113569;Dungreed;2018;indefined;;RP;TEAM HORAY;TEAM HORAY;;;;;
